Samplingpoint,Pollutant,Start,End,Value,Unit,AggType,Validity,Verification,ResultTime,DataCapture,FkObservationLog
IE/SPO.IE.IE0136ASample2_5,5,2013-01-01,2013-01-02,11.800000000000000000,ug.m-3,day,1,1,2014-09-30 21:13:11,,59856d12-1faa-4e98-8e38-4b15a5525f52
IE/SPO.IE.IE0136ASample2_5,5,2013-01-02,2013-01-03,12.900000000000000000,ug.m-3,day,1,1,2014-09-30 21:13:11,,59856d12-1faa-4e98-8e38-4b15a5525f52
IE/SPO.IE.IE0136ASample2_5,5,2013-01-03,2013-01-04,47.300000000000000000,ug.m-3,day,1,1,2014-09-30 21:13:11,,59856d12-1faa-4e98-8e38-4b15a5525f52
IE/SPO.IE.IE0136ASample2_5,5,2013-01-04,2013-01-05,23.500000000000000000,ug.m-3,day,1,1,2014-09-30 21:13:11,,59856d12-1faa-4e98-8e38-4b15a5525f52
IE/SPO.IE.IE0136ASample2_5,5,2013-01-05,2013-01-06,14.000000000000000000,ug.m-3,day,1,1,2014-09-30 21:13:11,,59856d12-1faa-4e98-8e38-4b15a5525f52
IE/SPO.IE.IE0136ASample2_5,5,2013-01-06,2013-01-07,9.700000000000000000,ug.m-3,day,1,1,2014-09-30 21:13:11,,59856d12-1faa-4e98-8e38-4b15a5525f52
IE/SPO.IE.IE0136ASample2_5,5,2013-01-07,2013-01-08,17.400000000000000000,ug.m-3,day,1,1,2014-09-30 21:13:11,,59856d12-1faa-4e98-8e38-4b15a5525f52
IE/SPO.IE.IE0136ASample2_5,5,2013-01-08,2013-01-09,5.600000000000000000,ug.m-3,day,1,1,2014-09-30 21:13:11,,59856d12-1faa-4e98-8e38-4b15a5525f52
IE/SPO.IE.IE0136ASample2_5,5,2013-01-09,2013-01-10,11.300000000000000000,ug.m-3,day,1,1,2014-09-30 21:13:11,,59856d12-1faa-4e98-8e38-4b15a5525f52
IE/SPO.IE.IE0136ASample2_5,5,2013-01-10,2013-01-11,29.300000000000000000,ug.m-3,day,1,1,2014-09-30 21:13:11,,59856d12-1faa-4e98-8e38-4b15a5525f52
IE/SPO.IE.IE0136ASample2_5,5,2013-01-11,2013-01-12,22.400000000000000000,ug.m-3,day,1,1,2014-09-30 21:13:11,,59856d12-1faa-4e98-8e38-4b15a5525f52
IE/SPO.IE.IE0136ASample2_5,5,2013-01-12,2013-01-13,15.900000000000000000,ug.m-3,day,1,1,2014-09-30 21:13:11,,59856d12-1faa-4e98-8e38-4b15a5525f52
IE/SPO.IE.IE0136ASample2_5,5,2013-01-13,2013-01-14,18.500000000000000000,ug.m-3,day,1,1,2014-09-30 21:13:11,,59856d12-1faa-4e98-8e38-4b15a5525f52
IE/SPO.IE.IE0136ASample2_5,5,2013-01-14,2013-01-15,6.300000000000000000,ug.m-3,day,1,1,2014-09-30 21:13:11,,59856d12-1faa-4e98-8e38-4b15a5525f52
